"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jul 27 17:15:59 CST 2021","Tue Jul 27 17:16:02 CST 2021","2251","pytest_case.vpc","test_vpc_vpc","Test_Vpc","","","test_create_vpc",""
"passed","Tue Jul 27 17:16:02 CST 2021","Tue Jul 27 17:16:04 CST 2021","2562","pytest_case.vpc","test_vpc_vpc","Test_Vpc","","","test_delete_vpc",""
